Year,Hight
1967.0240290088284, 159.38120242907604
1967.1349746975131, 170.22834043483005
1967.1806582163836, 130.92969290578674
1967.272025254124, 128.08454195345786
1967.3503398579014, 107.63501948359362
1967.5167583909288, 220.19630403510686
1967.4384437871513, 90.74193570414064
1967.6211778626323, 94.65401826359289
1967.7908595041504,94.12055246
1967.709281791882, 114.74789686441596
1968.0421188579367, 110.48017043592262
1967.9572780371777, 132.8857341855129
1967.8626478909464, 135.73088513784182
1968.1269596786958, 139.99861156633523
1968.2118004994547, 146.57802314359583
1968.293378211723, 115.99265040605985
1968.378219032482, 123.28334972140277
1968.4565336362596, 129.32929549510175
1968.538111348528, 132.8857341855129
1968.622952169287,87.54114088
1968.7110560985368, 104.96769046578532
1968.7893707023143, 113.3253213882515
1968.867685306092, 107.4571975490731
1968.962315452323, 144.97762573291084
1969.0373669476098, 156.71387341126768
1969.122207768369, 149.77881796496587
1969.207048589128, 141.59900897702022
1969.2625214334705, 108.87977302523751
1969.3669409051738, 108.70195109071699
1969.4583079429144, 103.9007588586619
1969.5333594382012, 110.12452656688146
1969.778092575006, 115.63700653701875
1969.6965148627378, 122.2164181142794
1969.6182002589603, 132.70791225099236
1969.8694596127466, 140.17643350085575
1969.9543004335055, 149.24535216140424
1970.1141927495514, 113.50314332277202
1970.2838743910695, 106.21244400742921
1970.3589258863565, 114.74789686441596
1970.437240490134, 108.34630722167589
1970.0293519287925, 182.49805391674857
1970.1957704618198, 167.2053675479806
1970.5286075278743, 163.11546305400776
1970.776604, 158.49209275647326
1970.691762952411, 176.27428620852902
1970.6134483486335, 200.45806930332492
1970.8516552684569, 195.8346990057904
1970.9397591977067,180.7198346
1971.044179, 189.61093129757091
1971.1290194901692, 196.19034287483154
1971.191018551493, 188.54399969044752
1971.2693331552705, 132.70791225099236
1971.350910867539, 108.70195109071699
1971.5401711600014, 83.09559251975668
1971.7065896930287, 108.52412915619641
1971.458593447733, 170.58398430387115
1971.6380644147232, 170.22834043483005
1971.7946936222784, 173.60695719072066
1971.873008226056, 197.43509641647543
1972.0361636505927, 203.65886412469496
1971.957849046815, 156.8916953457882
1972.1210044713516, 194.41212352962594
1972.199319075129, 155.29129793510316
1972.2906861128697, 140.17643350085575
1972.3624744996657, 116.17047234058043
1972.457104645897, 99.98867629920966
1972.7899417119518, 132.8857341855129
1972.5354192496745, 179.29725909537848
1972.6267862874151, 200.9915351068866
1972.6953115657204, 179.29725909537848
1972.8682563157292, 190.5000409701737
1973.0248855232844, 203.8366860592155
1972.9498340279974, 158.49209275647326
1973.1162525610248, 167.73883335154227
1973.1913040563118, 173.60695719072066
1973.2859342025429, 137.33128254852681
1973.3740381317928, 122.39424004879993
1973.5371935563294, 125.59503487017002
1973.4523527355702, 143.19940638770527
1973.6089819431254, 143.37722832222585
1973.697085872375, 159.73684629811714
1973.7819266931342, 170.05051850030947
1973.8700306223839, 186.9436022797625
1973.941819, 196.19034287483154
1974.0299229384298, 132.8857341855129
1974.2713929667439, 155.11347600058264
1974.0984482167353, 179.47508102989906
1974.1898152544757, 196.54598674387265
1974.3497075705216, 140.35425543537633
1974.597703815817, 120.61602070359442
1974.5193892120396, 183.92062939291299
1974.6792815280855, 191.38915064277646
1974.7641223488445, 180.54201263702242
1974.881594254511, 183.74280745839246
1974.940330207344, 200.28024736880437
1975.0480127875383, 208.28223442222946
1975.1883264526396, 221.97452338031243
1975.123064282825, 158.49209275647326
1975.2960090328338, 135.73088513784182
1975.341692551704, 153.86872245893875
1975.4559013488797, 172.00655978003567
1975.7104238111567, 137.33128254852681
1975.6190567734163, 183.74280745839246
1975.7887384149344, 230.15433236825808
1975.9551569479618, 235.84463427291593
1975.8637899102212, 203.1253983211333
1976.0269453347578, 170.22834043483005
1976.121575480989, 166.6719017444189
1976.1998900847666, 170.76180623839178
1976.2847309055255, 143.19940638770527
1975.537479061148, 82.73994865071552
1976.3630455093032, 69.75894743071478
1976.4576756555343, 72.60409838304372
1976.5229378253491, 57.31141201427579
1976.6175679715802, 131.28533677482784
1976.7839865046076, 105.67897820386753
1976.6991456838487, 160.27031210167877
1976.862301108385, 173.07349138715898
1976.9471419291442, 151.02357150660976
1977.0352458583939, 166.84972367893948
1977.1037711366994, 154.04654439345927
1977.1984012829305, 131.64098064386894
1977.2767158867082, 102.47818338249749
1977.3648198159578, 107.27937561455252
1977.4463975282263, 124.88374713208776
1977.5312383489852, 115.99265040605985
1977.6095529527627, 138.93167995921186
1977.681341339559, 197.25727448195485
1977.775971, 192.98954805346148
1978.0174415141043, 264.8296095997669
1978.1871231556222, 169.16140882770668
1978.2687008678906, 135.55306320332124
1978.3502785801588, 114.57007492989544
1978.5232233301676, 119.72691103099163
1978.6015379339453, 202.41411058305104
1978.7744826839541, 188.89964355948862
1978.7092205141394, 215.57293373757236
1978.872375938676, 291.8585436468917
1978.9637429764166, 242.06840198113548
1979.042057580194, 215.57293373757236
1979.1236352924623, 192.81172611894092
1979.1856343537863, 166.13843594085728
1979.2900538254896, 205.08143960085943
1979.456472358517,223.7527427
1979.5445762877669, 175.20735460140565
1979.6294171085258, 194.76776739866705
1979.7697307736273, 185.16538293455693
1979.6979423868313, 218.41808468990126
1979.8676240283492, 246.33612840962888
1979.9524648491083, 256.2941567427801
1980.115620273645, 236.02245620743653
1980.0307794528858, 181.2533003751047
1980.1971979859131, 194.5899454641465
1980.2755125896908, 197.79074028551653
1980.3734058444127, 156.8916953457882
1980.454983556681, 183.92062939291299
1980.5235088349864,274.4319941
1980.611612764236, 269.4529798973014
