Year,Temperature
1996.9021617610686, 127.72881355932213
1997.4158834199027, 189.9665201925087
1997.5581045428312, 248.81774429797008
1997.775386813972, 254.70286670851635
1998.3798265864182, 242.93262188742403
1998.5180971225989, 195.85164260305498
1998.7946381949598, 174.9267629211131
1999.5175955698464, 367.1740949989536
1999.383275620414, 480.2992257794517
1999.5610520240746, 561.3831345469763
1999.6124096517988, 598.6555764804352
1999.7388284277351,594.7321615
1999.8889507241597, 616.9648462021343
1999.4425344216343, 557.4597196066122
2000.3827740676616, 581.6541117388574
2000.5052422568501, 558.7675245867335
2000.6040069255505, 525.4184975936388
2000.6553645532745, 460.0282485875705
2000.8528938906752, 448.91190625653894
2001.3980748619013,635.9280184
2001.4652348366176, 673.8543628374136
2003.3891705829005, 522.1489851433353
2003.7684269107099, 627.4272860431051
2003.8790433396543, 639.1975308641975
2003.9343515541266, 591.4626490897676
2004.4202737241324,605.1946014
2004.8350853326738, 601.9250889307386
2005.3881674773959, 558.7675245867335
2005.5027344930882, 581.0002092487968
2005.7911273256932, 569.2299644277045
2005.688412070245, 542.4199623352165
2006.3876659246434, 458.0665411173885
2006.7155646247286, 478.9914207993303
2006.506183527084, 497.3006905210294
2006.798526946437, 526.0724000836994
2007.4938302140874, 469.18288344842017
2007.4148184791272, 535.8809374346097
2007.7664206997006,520.8411802
2008.3906134058868, 545.0355722954592
2008.5486368758072,590.8087466
2008.8133261879243, 611.7336262816489
2009.4019636133785, 588.1931366394642
2009.4691235880946, 637.8897258840761
2009.6706035122434, 639.8514333542582
2009.816775, 627.4272860431051
2010.4686220353424, 618.9265536723163
2010.7412125209553, 631.3507009834693
2011.464169895842, 615.6570412220129
2011.7881180091792, 595.3860640301318
2011.8118215296672, 636.5819209039548
2012.4241624756094, 626.7733835530446
2012.799468216671, 615.6570412220129
2013.4315620963532, 616.3109437120736
2013.8044565711687, 605.6426332288403
2014.4164771865999, 556.5308254963428
2015.410110656359, 559.6656217345873
2016.4829467939971,568.0250784
2017.3757768682733, 563.8453500522467
2018.3694103380324, 505.3291536050157
2019.3486433227224, 517.8683385579939
2020.4574806730332, 482.3406478578894
2022.4231468849475, 414.4200626959248
2023.4383810823101, 304.7021943573669
