Year,Temperature
1967.3948058372496, 93.55932203389841
1967.7388671778383, 94.91525423728831
1968.4106059856542,96.27118644
1968.4269898590155, 240.0000000000001
1968.648172149394, 92.20338983050851
1968.754667326243, 93.55932203389841
1983.3445065545388, 93.55932203389841
1983.8313958281803, 322.3163841807908
1984.405021023992, 307.4074074074073
1984.5946491878967, 291.7137476459509
1984.7510924231183, 290.92906465787814
1985.410050292687, 268.17325800376636
1985.6044191606893, 267.3885750156935
1992.4073295407702, 216.38418079096027
1992.582735592382,261.1111111
1992.7344381235057, 237.57062146892645
1993.4123588094649, 224.23101067168852
1993.573542748784, 212.4607658505962
1993.7631709126886, 203.04456999372235
1994.403165965867, 105.74387947269292
1994.5927941297716, 94.75831763967335
1994.7919037018717, 101.82046453232874
1995.4034545304642, 115.94475831763953
1995.5836012861737, 141.05461393596977
1995.777970154176, 163.02573760200858
1996.408483799159, 142.62397991211537
1996.583889850771, 147.3320778405523
1996.7592959023827, 133.20778405524152
1996.8730728007256, 115.94475831763953
1997.413513067854, 125.36095417451327
1997.7738065792728, 116.72944130571238
1998.5133564185012, 94.75831763967335
1998.788317256163, 112.02134337727546
1999.3856459724627, 110.45197740112974
1999.5563113199769, 118.29880728185799
1999.755420892077, 157.5329566854989
2000.3669717206694, 119.8681732580036
2000.5945255173551, 150.4708097928435
2000.7888943853575, 133.99246704331438
2001.400445, 119.8681732580036
2001.8081457663452, 155.96359070935318
2002.3391046252782, 267.3885750156935
2002.4054744826449, 291.7137476459509
2002.71362, 353.7037037037036
2003.3820595267541, 392.15317011927175
2003.780278670954, 502.00878844946635
2003.8750927529063, 473.7602008788449
2004.4297551323275, 401.5693659761455
2004.5056063978893, 390.58380414312614
2004.7900486437463, 423.5404896421845
2005.4063401764367, 429.81795354676694
2005.6907824222938, 403.92341494036395
2005.7950779124412, 429.81795354676694
2006.4350729656196, 422.75580665411167
2006.5441091598648, 406.2774639045824
2006.8001071811361, 384.3063402385435
2007.4116580097289, 339.5794099183929
2007.7861736334405, 346.6415568110483
2008.4214279825212, 339.5794099183929
2008.8149064226236, 359.19648462021337
2009.4691235880946,308.1920904
2009.824676395416, 316.0389202762084
2010.4504493363015, 421.9711236660388
2010.7396322862562, 455.71249215317005
2010.7917800313298, 475.3295668549905
2011.3985901558249, 473.7602008788449
2012.4747299859841, 498.08537350910217
2012.683320966279, 480.8223477715003
2013.4276115096052, 376.45951035781525
2014.553281794755, 395.6112852664578
2015.7485220554797, 396.6562173458726
2016.7349552827043, 379.93730407523515
2017.4765802637562, 374.71264367816104
2017.814991662877, 369.4879832810867
2018.4198120357737, 368.4430512016719
2018.779824162498, 363.2183908045978
2019.4422464756708, 350.6792058516196
2020.4574806730332, 330.82549634273767
2020.8174927997575, 305.74712643678174
2021.7823252993785, 237.82654127481726
2022.473548582689, 220.06269592476497
2022.7759587691373, 214.83803552769086
